time,slope,tempratue,current,padel rotation,speed,throttle
94,5.15,31.21,0.24,10,20.89,539
95,5.43,31.17,1.21,11,21.22,522
96,5.49,31.21,1.0,12,21.22,522
23,5.15,32.53,0.69,11,19.99,233
24,4.51,32.48,0.34,11,16.28,230
25,4.06,32.48,0.37,11,15.68,230
26,3.75,32.58,0.34,11,18.76,229
27,3.85,32.44,1.0,12,20.27,235
9,-1.1,32.39,0.24,0,38.13,750
16,4.8,33.05,1.0,1,12.59,1006
24,4.91,33.14,8.95,1,15.37,852
25,3.97,33.09,9.05,1,1.54,868
26,4.11,33.09,8.55,1,4.3,863
29,2.2,33.0,8.39,1,2.77,224
30,0.55,32.95,8.58,1,1.54,224
31,0.34,33.09,8.58,1,2.15,223
32,1.6,32.91,8.58,1,5.23,222
59,-5.17,33.28,8.58,3,13.53,865
60,-4.61,33.28,8.55,3,27.37,868
61,-3.66,33.09,8.58,3,28.88,994
62,-2.5,33.24,8.58,3,27.06,998
63,-1.5,33.05,8.58,3,26.42,985
64,-1.32,33.28,8.47,3,24.91,999
65,-1.08,33.14,8.58,3,23.65,1000
66,-1.03,33.24,8.5,3,23.06,1002
67,-1.19,33.19,8.5,4,23.96,1001
68,-1.12,33.24,8.45,6,22.45,1000
69,-1.18,33.14,8.53,7,23.65,999
70,-1.21,33.19,1.37,8,22.45,1004
71,-1.23,33.14,9.0,9,24.88,1000
72,-0.99,33.19,8.47,10,31.7,1000
73,-1.17,33.19,1.74,11,43.62,1001
74,-1.17,33.14,8.66,12,43.36,1000
75,-1.26,33.09,8.39,13,27.03,1014
306,-2.48,26.46,0.66,2,4.3,230
307,-1.89,26.46,0.66,2,5.84,227
308,-1.89,26.46,0.69,2,7.37,228
309,-1.95,26.65,0.69,2,9.22,226
310,-0.93,26.6,0.71,3,13.82,224
311,-0.99,26.65,0.71,3,9.85,227
312,-1.12,26.51,0.69,3,12.9,227
313,-1.39,26.55,0.69,3,3.07,226
9,-4.93,27.12,0.55,2,16.31,430
10,4.89,27.12,0.58,3,16.59,973
11,4.52,27.17,0.66,3,13.84,974
12,4.06,27.21,0.61,3,15.05,972
13,4.51,27.26,0.61,3,13.84,972
14,2.89,27.4,0.58,3,15.67,976
15,1.73,27.26,0.71,3,16.6,972
16,0.61,27.31,0.66,3,15.99,975
17,-0.32,27.45,1.0,3,24.91,973
18,-0.93,27.45,0.53,3,20.89,972
19,-0.96,27.49,0.53,3,39.36,981
20,-0.64,27.68,0.53,3,41.16,973
21,-0.4,27.54,0.45,3,31.36,974
22,-0.37,27.64,0.48,3,25.5,969
23,-0.54,27.68,0.45,3,31.67,970
24,-1.01,27.73,0.5,3,32.25,969
25,-0.43,27.68,0.53,3,26.44,1001
26,-0.78,27.78,0.42,3,23.68,969
27,-0.53,27.68,0.53,3,23.96,973
28,-0.23,27.78,0.53,3,24.93,967
29,-0.4,27.73,0.5,3,23.96,970
30,-0.28,27.78,0.58,3,24.29,959
31,0.09,27.78,0.61,3,26.11,969
32,0.79,27.78,0.61,3,25.83,971
33,2.18,27.92,0.61,3,35.02,493
34,1.88,28.01,0.58,3,30.44,1002
9,-5.21,28.29,0.45,0,24.57,979
10,2.13,28.29,0.48,0,29.24,279
11,1.92,28.34,0.5,0,25.83,288
12,0.9,28.44,0.48,0,22.42,315
13,0.45,28.44,0.48,0,15.68,286
14,0.01,28.44,0.5,0,4.61,335
224,-0.67,26.18,5.73,2,0.62,275
225,-0.55,26.27,5.7,2,0.31,274
226,-0.64,26.18,5.57,2,0.31,355
228,-0.45,26.18,5.49,2,0.92,312
229,-0.25,26.22,5.54,2,3.07,323
230,-0.19,26.18,5.62,2,3.69,316
231,-0.2,26.18,5.78,2,4.61,313
232,0.09,26.27,5.89,2,7.68,304
233,-0.06,26.22,5.7,3,7.39,298
234,-0.25,26.32,5.65,3,4.61,299
235,-0.45,26.27,5.75,3,2.46,326
236,-0.83,26.32,5.7,3,2.46,316
237,-1.05,26.37,5.73,3,2.46,324
238,-0.48,26.41,5.73,3,3.69,320
239,-0.48,26.37,5.75,3,5.84,316
240,-0.19,26.37,5.78,4,12.59,302
241,1.47,26.41,5.75,4,3.38,295
249,2.33,26.65,6.07,5,4.61,833
251,3.71,26.79,6.23,5,44.23,838
252,3.95,26.79,6.44,5,4.61,836
253,3.33,26.98,6.36,5,6.76,839
254,2.8,26.98,6.36,5,13.84,837
255,2.34,27.02,6.41,5,16.59,832
256,2.14,27.07,6.33,5,6.76,767
257,1.89,26.98,6.15,5,9.53,299
258,0.9,27.12,6.33,5,12.91,298
259,0.22,27.12,6.26,5,19.35,298
260,-0.6,27.12,6.33,5,19.06,296
261,-0.98,27.21,6.31,5,10.75,300
262,-1.14,27.21,6.33,5,11.68,305
263,-0.84,27.31,6.57,5,17.53,594
264,-1.15,27.31,6.68,5,19.35,605
265,-0.98,27.4,6.2,5,20.91,725
266,-1.89,27.4,6.84,5,22.42,731
267,-1.73,27.49,6.23,5,27.67,769
268,-1.87,27.54,6.26,5,30.41,878
269,-1.52,27.49,6.33,5,31.06,969
270,-1.71,27.59,6.31,5,32.25,792
271,-2.02,27.49,6.26,5,32.9,989
272,-2.1,27.64,6.31,5,33.18,991
273,-2.0,27.68,6.33,5,29.55,996
274,-1.75,27.73,6.31,5,29.8,991
275,-1.9,27.68,6.33,5,35.05,993
276,-1.86,27.78,6.33,5,35.63,745
277,-1.73,27.78,6.31,5,35.67,300
278,-1.29,27.82,6.33,5,34.4,764
279,-0.63,27.97,6.23,5,33.82,823
280,0.27,27.92,6.39,5,32.29,817
281,0.65,27.92,6.36,5,30.41,816
282,0.73,28.06,6.33,5,28.29,992
283,1.18,28.11,6.18,5,26.73,991
284,1.17,28.11,6.36,5,24.91,992
285,1.13,28.11,6.36,5,23.96,991
286,1.28,28.11,6.33,5,23.37,991
287,1.41,28.29,6.39,5,23.04,992
288,1.42,28.29,6.36,6,22.47,995
289,1.4,28.2,6.36,6,21.81,990
290,1.09,28.25,6.39,6,21.52,990
291,1.27,28.34,6.33,6,21.5,990
292,0.81,28.39,6.36,6,20.91,991
293,0.75,28.34,7.18,6,20.89,1007
294,0.52,28.44,7.15,6,21.22,1003
295,0.73,28.44,7.15,6,21.2,988
296,0.09,28.39,7.18,6,21.52,987
297,0.73,28.53,7.19,6,21.52,1011
298,0.58,28.58,6.33,6,21.5,993
299,0.19,28.48,6.33,6,21.83,995
300,0.39,28.62,6.33,6,21.81,995
301,-0.13,28.58,6.33,6,22.47,997
302,0.05,28.58,6.33,6,22.73,995
303,-0.23,28.72,6.33,6,23.06,996
304,-0.23,28.53,6.33,6,23.04,996
305,-1.01,28.67,6.33,6,24.29,995
306,-1.13,28.62,6.33,6,24.57,996
307,-0.54,28.72,6.34,6,25.21,996
308,-0.83,28.77,6.36,6,25.8,286
309,-0.71,28.67,6.36,6,25.52,287
310,-1.63,28.67,6.36,6,23.65,287
311,-2.08,28.72,6.36,6,20.29,297
312,-1.36,28.81,6.36,6,17.2,292
313,-1.94,28.72,6.31,6,15.68,296
314,-1.35,28.81,6.28,6,15.37,290
315,-2.03,28.81,6.31,6,14.13,291
316,-2.04,28.86,6.07,6,11.99,290
317,-1.14,28.86,6.26,6,10.14,708
318,-0.6,28.81,6.02,6,15.07,845
320,5.22,29.0,4.12,6,35.4,826
364,-1.73,29.8,5.96,7,0.31,988
365,-1.15,29.75,5.62,7,1.84,990
224,-0.67,26.18,5.73,2,0.62,275
225,-0.55,26.27,5.7,2,0.31,274
226,-0.64,26.18,5.57,2,0.31,355
228,-0.45,26.18,5.49,2,0.92,312
229,-0.25,26.22,5.54,2,3.07,323
230,-0.19,26.18,5.62,2,3.69,316
231,-0.2,26.18,5.78,2,4.61,313
232,0.09,26.27,5.89,2,7.68,304
233,-0.06,26.22,5.7,3,7.39,298
234,-0.25,26.32,5.65,3,4.61,299
235,-0.45,26.27,5.75,3,2.46,326
236,-0.83,26.32,5.7,3,2.46,316
237,-1.05,26.37,5.73,3,2.46,324
238,-0.48,26.41,5.73,3,3.69,320
239,-0.48,26.37,5.75,3,5.84,316
240,-0.19,26.37,5.78,4,12.59,302
241,1.47,26.41,5.75,4,3.38,295
249,2.33,26.65,6.07,5,4.61,833
251,3.71,26.79,6.23,5,44.23,838
252,3.95,26.79,6.44,5,4.61,836
253,3.33,26.98,6.36,5,6.76,839
254,2.8,26.98,6.36,5,13.84,837
255,2.34,27.02,6.41,5,16.59,832
256,2.14,27.07,6.33,5,6.76,767
257,1.89,26.98,6.15,5,9.53,299
258,0.9,27.12,6.33,5,12.91,298
259,0.22,27.12,6.26,5,19.35,298
260,-0.6,27.12,6.33,5,19.06,296
261,-0.98,27.21,6.31,5,10.75,300
262,-1.14,27.21,6.33,5,11.68,305
263,-0.84,27.31,6.57,5,17.53,594
264,-1.15,27.31,6.68,5,19.35,605
265,-0.98,27.4,6.2,5,20.91,725
266,-1.89,27.4,6.84,5,22.42,731
267,-1.73,27.49,6.23,5,27.67,769
268,-1.87,27.54,6.26,5,30.41,878
269,-1.52,27.49,6.33,5,31.06,969
270,-1.71,27.59,6.31,5,32.25,792
271,-2.02,27.49,6.26,5,32.9,989
272,-2.1,27.64,6.31,5,33.18,991
273,-2.0,27.68,6.33,5,29.55,996
274,-1.75,27.73,6.31,5,29.8,991
275,-1.9,27.68,6.33,5,35.05,993
276,-1.86,27.78,6.33,5,35.63,745
277,-1.73,27.78,6.31,5,35.67,300
278,-1.29,27.82,6.33,5,34.4,764
279,-0.63,27.97,6.23,5,33.82,823
280,0.27,27.92,6.39,5,32.29,817
281,0.65,27.92,6.36,5,30.41,816
282,0.73,28.06,6.33,5,28.29,992
283,1.18,28.11,6.18,5,26.73,991
284,1.17,28.11,6.36,5,24.91,992
285,1.13,28.11,6.36,5,23.96,991
286,1.28,28.11,6.33,5,23.37,991
287,1.41,28.29,6.39,5,23.04,992
288,1.42,28.29,6.36,6,22.47,995
289,1.4,28.2,6.36,6,21.81,990
290,1.09,28.25,6.39,6,21.52,990
291,1.27,28.34,6.33,6,21.5,990
292,0.81,28.39,6.36,6,20.91,991
293,0.75,28.34,7.18,6,20.89,1007
294,0.52,28.44,7.15,6,21.22,1003
295,0.73,28.44,7.15,6,21.2,988
298,0.58,28.58,6.33,6,21.5,993
311,-2.08,28.72,6.36,6,20.29,297
312,-1.36,28.81,6.36,6,17.2,292
313,-1.94,28.72,6.31,6,15.68,296
314,-1.35,28.81,6.28,6,15.37,290
315,-2.03,28.81,6.31,6,14.13,291
316,-2.04,28.86,6.07,6,11.99,290
317,-1.14,28.86,6.26,6,10.14,708
318,-0.6,28.81,6.02,6,15.07,845
320,5.22,29.0,4.12,6,35.4,826
